Year,State,County,fcst
2017,CT,Fairfield,147
2017,CT,Hartford,183
2017,CT,Litchfield,10
2017,CT,Middlesex,52
2017,CT,New Haven,128
2017,CT,New London,65
2017,CT,Tolland,42
2017,CT,Windham,20
2019,MI,Allegan,10
2019,MI,Antrim,2
2019,MI,Baraga,2
2019,MI,Barry,2
2019,MI,Bay,9
2019,MI,Benzie,8
2019,MI,Berrien,21
2019,MI,Branch,4
2019,MI,Calhoun,13
2019,MI,Cass,2
2019,MI,Charlevoix,2
2019,MI,Cheboygan,4
2019,MI,Chippewa,4
2019,MI,Clare,8
2019,MI,Clinton,2
2019,MI,Delta,3
2019,MI,Dickinson,0
2019,MI,Eaton,18
2019,MI,Emmet,8
2019,MI,Genesee,7
2019,MI,Gogebic,0
2019,MI,Grand Traverse,42
2019,MI,Gratiot,0
2019,MI,Hillsdale,0
2019,MI,Houghton,1
2019,MI,Huron,2
2019,MI,Ingham,35
2019,MI,Ionia,0
2019,MI,Iosco,0
2019,MI,Iron,0
2019,MI,Isabella,5
2019,MI,Jackson,14
2019,MI,Kalamazoo,16
2019,MI,Kalkaska,0
2019,MI,Kent,70
2019,MI,Lake,0
2019,MI,Lapeer,1
2019,MI,Leelanau,10
2019,MI,Lenawee,0
2019,MI,Livingston,2
2019,MI,Mackinac,1
2019,MI,Macomb,43
2019,MI,Manistee,0
2019,MI,Marquette,0
2019,MI,Mason,8
2019,MI,Mecosta,12
2019,MI,Midland,0
2019,MI,Monroe,6
2019,MI,Montcalm,0
2019,MI,Montmorency,4
2019,MI,Muskegon,16
2019,MI,Newaygo,6
2019,MI,Oakland,131
2019,MI,Oceana,2
2019,MI,Ogemaw,2
2019,MI,Osceola,0
2019,MI,Otsego,10
2019,MI,Ottawa,37
2019,MI,Presque Isle,8
2019,MI,Roscommon,1
2019,MI,Saginaw,6
2019,MI,St. Clair,15
2019,MI,Sanilac,0
2019,MI,Shiawassee,0
2019,MI,Van Buren,5
2019,MI,Washtenaw,71
2019,MI,Wayne,188
2019,MI,Wexford,8
2020,NJ,Atlantic,46
2020,NJ,Bergen,171
2020,NJ,Burlington,49
2020,NJ,Camden,35
2020,NJ,Cape May,34
2020,NJ,Cumberland,4
2020,NJ,Essex,110
2020,NJ,Gloucester,43
2020,NJ,Hudson,158
2020,NJ,Hunterdon,26
2020,NJ,Mercer,81
2020,NJ,Middlesex,172
2020,NJ,Monmouth,75
2020,NJ,Morris,102
2020,NJ,Ocean,37
2020,NJ,Passaic,25
2020,NJ,Salem,5
2020,NJ,Somerset,117
2020,NJ,Sussex,20
2020,NJ,Union,79
2020,NJ,Warren,2
2020,NY,Albany,379
2020,NY,Allegany,6
2020,NY,Bronx,74
2020,NY,Broome,38
2020,NY,Cattaraugus,26
2020,NY,Cayuga,9
2020,NY,Chautauqua,25
2020,NY,Chemung,18
2020,NY,Chenango,0
2020,NY,Clinton,31
2020,NY,Columbia,45
2020,NY,Cortland,7
2020,NY,Delaware,13
2020,NY,Dutchess,112
2020,NY,Erie,282
2020,NY,Essex,48
2020,NY,Franklin,33
2020,NY,Fulton,8
2020,NY,Genesee,18
2020,NY,Greene,26
2020,NY,Hamilton,8
2020,NY,Herkimer,13
2020,NY,Jefferson,25
2020,NY,Kings,315
2020,NY,Lewis,3
2020,NY,Livingston,28
2020,NY,Madison,21
2020,NY,Monroe,268
2020,NY,Montgomery,12
2020,NY,Nassau,161
2020,NY,New York,923
2020,NY,Niagara,42
2020,NY,Oneida,74
2020,NY,Onondaga,154
2020,NY,Ontario,41
2020,NY,Orange,62
2020,NY,Orleans,2
2020,NY,Oswego,7
2020,NY,Otsego,25
2020,NY,Putnam,10
